,Specie ID,Average Fitness,Stagnation
598,Specie 28,8.412714834632435,18
599,Specie 29,8.612725747800706,2
600,Specie 30,7.538975334631042,6
601,Specie 31,7.644067715191556,3
602,Specie 32,8.675351213878628,5
603,Specie 33,8.988147584387951,5
604,Specie 34,8.993728878222363,5
605,Specie 35,8.992812998818945,2
606,Specie 36,8.966571627210158,1
607,Specie 37,8.726456882112887,16
608,Specie 38,7.993586008129198,3
609,Specie 39,7.560764907332849,3
610,Specie 40,8.964197502058262,8
611,Specie 41,8.728184419236742,7
612,Specie 42,8.942765016107025,1
